Group,Item,Qty,Category,Standard,Material,Dimensions,Features,Finish,Color,Notes
0. Sled,Sled,1,FDM printed,,Extrudr PETG,,"0.2mm layer, 25% honeycomb",,black,
0. Sled,Jaw,1,FDM printed,,Extrudr PETG,,"0.2mm layer, 25% honeycomb",,neon-orange,
0. Sled,Lever,1,FDM printed,,Extrudr ASA,,"0.2mm layer, 25% honeycomb",,neon-orange,
0. Sled,M4 knurled Nut,1,FDM printed,,Extrudr PETG,,0.2mm layer,,black,
0. Sled,compression spring,2,,,spring steel,15/0.5/5mm (L/ID/OD),,nickel plated,silver,
0. Sled,M4 self-locking Nut,1,Nut,ISO 10511,,,Grade 8.8,galvanized,silver,
0. Sled,acme Nut,1,CNC-milled,,POM,,,,black,Ali Express
0. Sled,M5 self-locking Nut,6,Nut,ISO 10511,,,Grade 10.8,black,silver,
0. Sled,bushing sled,4,Bushing (SF-1 1225),,Copper Graphite,12x14x25mm,,,copper,
0. Sled,T8 Spindle,1,T8 lead screw,,1.4301 Stainless Steel,200mm,"8mm lead, 2mm pitch",,silver,
0. Sled,T8 lock-nut,1,T8 lead screw,,brass,,"8mm lead, 2mm pitch",,brass,
0. Sled,centerpiece for lever,1,lathe machined,,,,M4 thread,,brass,
0. Sled,Pulley spindle,1,GT2,,,"8mm bore, belt Width 6mm","30 teeth, 8mm bore, belt width 6mm",anodized,natural,
0. Sled,M5x16 countersunk hex,2,Screw,,steel,,,,,
0. Sled,M5x20 countersunk hex,2,Screw,,steel,,,,,
0. Sled,M4 threaded rods,1,Threaded rod,DIN 976 Form B,steel,M4x120mm,,galvanized,,
1. Headsled,Headsled,1,CNC-milled Aluminium 7075,,,,,anodized,black,
1. Headsled,Hammerhead,1,Coil assembly,,Copper coil in steel housing,,"carbide tip, aluminium retainer",,silver/red,
1. Headsled,acme Nut,1,CNC-milled,,POM,,,,black,
1. Headsled,M5x20 countersunk hex,2,Screw,ISO 10642,,,Grade 10.8,black,black,
1. Headsled,M5 self-locking Nut,3,Nut,ISO 10511,,,Grade 10.8,black,silver,
1. Headsled,bushing headsled,4,Bushing (SF-1 1220),,Copper Graphite,12x14x20mm,,,copper,
1. Headsled,T8 Spindle,1,T8 lead screw,,1.4301 Stainless Steel,200mm,"8mm lead, 2mm pitch",,silver,
1. Headsled,T8 lock-nut,1,T8 lead screw,,brass,,"8mm lead, 2mm pitch",,brass,
1. Headsled,Pulley spindle,1,GT2,,,"8mm bore, belt Width 6mm","30 teeth, 8mm bore, belt width 6mm",anodized,natural,
1. Headsled,Cableclip screw 2x,1,FDM printed,,Extrudr PC/PBT,,0.2mm layer,,black,
1. Headsled,M4x16 countersunk hex,1,Screw,DIN 912 / ISO 4762,,,"Grade 10.9, socket head cap screw",black,,
2. Front,Front,1,FDM printed,,Extrudr PETG,,"0.2mm layer, 25% honeycomb",,black,
2. Front,bearing,1,Bearing (608Z),,,,,,silver,NSK Japan
2. Front,M3 self-locking Nut,2,Nut,ISO 10511,,,Grade 8.8,galvanized,silver,
2. Front,M3x12 cyl. hex,2,Screw,ISO4762,,,Grade 12.9,black,black,
2. Front,Foot,2,FDM printed,,Extrudr TPU 85A,,"0.2mm layer, 5% grid",,black,
3. Back,Back,1,FDM printed,,Extrudr PETG,,"0.2mm layer, 25% honeycomb",,black,
3. Back,bearing,1,Bearing (608Z),,,,,,silver,NSK Japan
3. Back,M3 self-locking Nut,2,Nut,ISO 10511,,,Grade 8.8,galvanized,silver,
